,Dates,Topic
0,"03 Oct, 2014","['Youth', 0.3542541341690118]"
1,"02 Nov, 2014","['Health', 0.36033813405921955]"
2,"14 Dec, 2014","['Health', 0.5403085672932568]"
3,"27 Jan, 2015","['Health', 0.6246444492483673]"
4,"22 Feb, 2015","['Youth', 0.7055070170721602]"
5,"22 Mar, 2015","['Economics', 0.674032011190757]"
6,"31 May, 2015","['Youth', 0.3396068775303148]"
7,"28 Jun, 2015","['Youth', 0.20122768619251538]"
8,"26 Jul, 2015","['Economics', 0.21688833929019316]"
9,"30 Aug, 2015","['Economics', 0.2740044936720676]"
10,"20 Sep, 2015","['Sports & Culture', 0.3270500859094061]"
11,"25 Oct, 2015","['Health', 0.44715594112513957]"
12,"29 Nov, 2015","['Health', 0.2068602910233063]"
13,"27 Dec, 2015","['Health', 0.19531876722459846]"
14,"31 Jan, 2016","['Health', 0.2248132930415512]"
15,"28 Feb, 2016","['Youth', 0.7403249229164351]"
16,"27 Mar, 2016","['Agriculture & Development', 0.27920122110643764]"
17,"24 Apr, 2016","['Youth', 0.29636167916289624]"
18,"22 May, 2016","['Youth', 0.3649281092226516]"
19,"26 Jun, 2016","['Youth', 0.390464344094767]"
20,"31 Jul, 2016","['Sports & Culture', 0.13539535041154815]"
21,"28 Aug, 2016","['Agriculture & Development', 0.3649552230127056]"
22,"25 Sep, 2016","['Sports & Culture', 0.3865518789945233]"
23,"30 Oct, 2016","['Sports & Culture', 0.4771967884414365]"
24,"27 Nov, 2016","['Youth', 0.11313752063150313]"
25,"25 Dec, 2016","['Agriculture & Development', 0.11047480735323756]"
26,"29 Jan, 2017","['Youth', 0.5970968514084787]"
27,"26 Feb, 2017","['Economics', 0.16576527000845886]"
28,"26 Mar, 2017","['Agriculture & Development', 0.21831525236432342]"
29,"30 Apr, 2017","['Youth', 0.2380147191877816]"
30,"28 May, 2017","['Health', 0.300027835855126]"
31,"25 Jun, 2017","['Sports & Culture', 0.18113334977133727]"
32,"30 Jul, 2017","['Agriculture & Development', 0.35513419176302846]"
33,"27 Aug, 2017","['Sports & Culture', 0.28407851514934873]"
34,"24 Sep, 2017","['Sports & Culture', 0.4165285668052941]"
35,"29 Oct, 2017","['Sports & Culture', 0.5216211766283637]"
36,"31 Dec, 2017","['Sports & Culture', 0.39156079600061716]"
37,"28 Jan, 2018","['Sports & Culture', 0.42900684401452066]"
38,"25 Feb, 2018","['Economics', 0.3533755441521179]"
39,"25 Mar, 2018","['Economics', 0.26049739693666957]"
40,"29 Apr, 2018","['Agriculture & Development', 0.3639216955955511]"
41,"27 May, 2018","['Agriculture & Development', 0.4087299186995824]"
42,"24 Jun, 2018","['Economics', 0.2323518723785125]"
43,"29 Jul, 2018","['Agriculture & Development', 0.41066530814281504]"
44,"26 Aug, 2018","['Agriculture & Development', 0.2688349554864029]"
45,"30 Sep, 2018","['Sports & Culture', 0.5456185209886832]"
46,"28 Oct, 2018","['Agriculture & Development', 0.3849664026944295]"
47,"25 Nov, 2018","['Health', 0.458048399223231]"
48,"30 Dec, 2018","['Sports & Culture', 0.3247524933131101]"
49,"27 Jan, 2019","['Sports & Culture', 0.34844812882502035]"
50,"24 Feb, 2019","['Sports & Culture', 0.31604822102950497]"
51,"30 Jun, 2019","['Youth', 0.35612767291591924]"
52,"28 Jul, 2019","['Agriculture & Development', 0.2505639892312299]"
53,"25 Aug, 2019","['Agriculture & Development', 0.279696470272767]"
54,"29 Sep, 2019","['Agriculture & Development', 0.28675840521581547]"
55,"27 Oct, 2019","['Sports & Culture', 0.42497328636169507]"
56,"24 Nov, 2019","['Health', 0.5042951427046115]"
57,"29 Dec, 2019","['Health', 0.38969116699900885]"
58,"26 Jan, 2020","['Agriculture & Development', 0.35690842972576087]"
59,"23 Feb, 2020","['Economics', 0.4488595363630878]"
60,"29 Mar, 2020","['Youth', 0.13546993849665842]"
61,"26 Apr, 2020","['Youth', 0.11973936930913108]"
62,"31 May, 2020","['Youth', 0.1035044541002454]"
63,"28 Jun, 2020","['Agriculture & Development', 0.18415166212187825]"
64,"26 Jul, 2020","['Agriculture & Development', 0.10796814822505268]"
65,"30 Aug, 2020","['Agriculture & Development', 0.45345073274531117]"
66,"27 Sep, 2020","['Economics', 0.18494600693976157]"
67,"25 Oct, 2020","['Economics', 0.31607709798853006]"
68,"29 Nov, 2020","['Economics', 0.5005457254785736]"
69,"27 Dec, 2020","['Agriculture & Development', 0.2713321999782619]"
70,"31 Jan, 2021","['Economics', 0.25773624782678173]"
71,"28 Feb, 2021","['Youth', 0.34261435593039546]"
72,"28 Mar, 2021","['Economics', 0.42224333950551723]"
