,Text,Date,Year,hashtag,Cleaned
0,No violation by @narendramodi :Election Commission #MannKiBaat http://t.co/TrgYnvXqrE,2014-10-11,2014,['MannKiBaat'],"['violation', 'election', 'commission']"
1,#PMModi's #MannKiBaat radio show: #ElectionCommission says broadcast did not violate Model Code of Conduct @IndianExpress,2014-10-10,2014,"['PMModi', 'MannKiBaat', 'ElectionCommission']","['radio', 'show', 'say', 'broadcast', 'violate', 'model', 'code', 'conduct']"
2,"#MannKiBaat #Sobtian #FanGal
Dil Humko Kabhi Samjhata Hai.
Hum DilKo Kabhi Samjhate Hai.
#BarunSobti @palak_sweety09 http://t.co/MfEXSCY51s",2014-10-10,2014,"['MannKiBaat', 'Sobtian', 'FanGal', 'BarunSobti']","['humko', 'kabhi', 'samjhata', 'haihum', 'dilko', 'kabhi', 'samjhate']"
3,#Congress lodges complaint with #EC against #Modi 's program #MannKiBaat,2014-10-06,2014,"['Congress', 'EC', 'Modi', 'MannKiBaat']","['lodge', 'complaint', 'program']"
4,#Congress lodges complaint with EC against PM #NarendraModi 's program #MannKiBaat on All India Radio.,2014-10-06,2014,"['Congress', 'NarendraModi', 'MannKiBaat']","['lodge', 'complaint', 'program', 'india', 'radio']"
5,"As per Cong, #SwachhBharat &amp; #MannKiBaat violate model code of conduct, in MH &amp; HR polls. So PM should do nothing all year, just play ludo?",2014-10-06,2014,"['SwachhBharat', 'MannKiBaat']","['cong', 'violate', 'model', 'code', 'conduct', 'poll', 'nothing', 'year', 'play', 'ludo']"
6,"ggiittiikkaa: As per Cong, #SwachhBharat &amp; #MannKiBaat violate model code of conduct, in MH &amp; HR polls. So PM should do nothing all year,...",2014-10-06,2014,"['SwachhBharat', 'MannKiBaat']","['ggiittiikkaa', 'cong', 'violate', 'model', 'code', 'conduct', 'poll', 'nothing', 'year']"
7,Check out  our honorable Prime Minister #NarendraModi saying apne #mannkibaat on #MYFM https://t.co/qR3csHVepX,2014-10-04,2014,"['NarendraModi', 'mannkibaat', 'MYFM']","['check', 'honorable', 'saying', 'apne']"
8,When you start relating expressions of people to smileys #MannkiBaat,2014-10-04,2014,['MannkiBaat'],"['start', 'relating', 'expression', 'people', 'smiley']"
9,"Ye Akashvaani hai ... Aur main Narendra Modi bol raha hu.. :')
#MannKiBaat http://t.co/g3ZhHFaAAg",2014-10-04,2014,['MannKiBaat'],"['akashvaani', 'main', 'raha']"
10,#MannKiBaat What will the Media say about it? It is reaching out to people. Govt speaks to government. But not through the procurers.,2014-10-04,2014,['MannKiBaat'],"['medium', 'reaching', 'people', 'govt', 'speaks', 'government', 'procurer']"
11,"In first radio address,#MannKiBaat PM Modi says the nation belongs to people, not the govt..#NaMo http://t.co/rd1i8mPgxC",2014-10-04,2014,"['MannKiBaat', 'NaMo']","['first', 'radio', 'address', 'say', 'nation', 'belongs', 'people', 'govt']"
12,"friends ke papa ke #AccheDin aa
gaye 4 sal se pade hue radio ek hi
din me bik gaye. Wahh #MannKiBaat",2014-10-04,2014,"['AccheDin', 'MannKiBaat']","['friend', 'papa', 'aagaye', 'pade', 'radio', 'hidin', 'gaye', 'wahh']"
